2026-05-12 15:47:35 [WARNING ] ai_model             LightGBM not found – rule-based mode only
2026-05-12 15:47:35 [WARNING ] ai_analyst           google-genai not installed — rule-based analyst active
2026-05-12 15:47:35 [INFO    ] main                 [DRY-RUN] DRY-RUN MODE - no real orders placed
2026-05-12 15:47:35 [INFO    ] mexc_client          MEXCClient initialized | dry_run=True
2026-05-12 15:47:35 [INFO    ] data_fetcher         Database initialized: data/trades.db
2026-05-12 15:47:35 [INFO    ] ai_analyst           AI Analyst running in rule-based mode (no GEMINI_API_KEY)
2026-05-12 15:47:35 [INFO    ] trader               Loaded 0 open positions from DB
2026-05-12 15:47:35 [INFO    ] trader               Trader ready | dry_run=True | open=0
2026-05-12 15:47:35 [INFO    ] main                 ============================================================
2026-05-12 15:47:35 [INFO    ] main                   MEXC SCALPING AI BOT  |  dry_run=True
2026-05-12 15:47:35 [INFO    ] main                   Symbols : BTC_USDT, ETH_USDT
2026-05-12 15:47:35 [INFO    ] main                   Interval: Min1 | Check: 5s
2026-05-12 15:47:35 [INFO    ] main                 ============================================================
2026-05-12 15:47:35 [INFO    ] mexc_client          Testing MEXC connection...
2026-05-12 15:47:37 [INFO    ] mexc_client          ✓ Public API OK | BTC price: 80658.2
2026-05-12 15:47:37 [ERROR   ] mexc_client          GET /api/v1/private/account/assets failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/account/assets
2026-05-12 15:47:37 [INFO    ] mexc_client          ✓ Private API OK | Got account data
2026-05-12 15:47:37 [INFO    ] main                 Loading 1-minute historical data...
2026-05-12 15:47:37 [INFO    ] data_fetcher         Loading history for BTC_USDT...
2026-05-12 15:47:37 [INFO    ] data_fetcher           [OK] BTC_USDT: 300 candles loaded
2026-05-12 15:47:37 [INFO    ] data_fetcher         Loading history for ETH_USDT...
2026-05-12 15:47:38 [INFO    ] data_fetcher           [OK] ETH_USDT: 300 candles loaded
2026-05-12 15:47:38 [INFO    ] data_fetcher         Database initialized: data/trades_htf.db
2026-05-12 15:47:38 [INFO    ] main                 Loading 5-minute higher-timeframe data...
2026-05-12 15:47:38 [INFO    ] data_fetcher         Loading history for BTC_USDT...
2026-05-12 15:47:38 [INFO    ] data_fetcher           [OK] BTC_USDT: 100 candles loaded
2026-05-12 15:47:38 [INFO    ] data_fetcher         Loading history for ETH_USDT...
2026-05-12 15:47:38 [INFO    ] data_fetcher           [OK] ETH_USDT: 100 candles loaded
2026-05-12 15:47:39 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 15:47:40 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 15:47:40 [INFO    ] main                   Leverage set: BTC_USDT x 10
2026-05-12 15:47:41 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 15:47:42 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 15:47:42 [INFO    ] main                   Leverage set: ETH_USDT x 10
2026-05-12 15:47:42 [INFO    ] main                 Initializing AI models...
2026-05-12 15:47:43 [INFO    ] mexc_client          WebSocket connected
2026-05-12 15:47:43 [INFO    ] mexc_client          WebSocket ready
2026-05-12 15:47:43 [INFO    ] main                 [OK] WebSocket live feed active
2026-05-12 15:47:43 [INFO    ] mexc_client          Subscribed to BTC_USDT
2026-05-12 15:47:43 [INFO    ] mexc_client          Subscribed to ETH_USDT
2026-05-12 15:47:43 [ERROR   ] mexc_client          GET /api/v1/private/account/assets failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/account/assets
2026-05-12 15:47:43 [INFO    ] risk_manager         Daily reset | balance=100.00 USDT
2026-05-12 15:47:43 [INFO    ] main                 Starting balance: 100.00 USDT
2026-05-12 15:47:43 [INFO    ] main                 [RUN] Scalping loop started
2026-05-12 15:47:43 [INFO    ] main                 [DASHBOARD] Dashboard -> http://localhost:5000
2026-05-12 15:48:45 [WARNING ] mexc_client          WebSocket closed: None None
2026-05-12 15:48:50 [INFO    ] mexc_client          Reconnecting WebSocket...
2026-05-12 15:48:50 [INFO    ] mexc_client          WebSocket connected
2026-05-12 15:48:50 [INFO    ] mexc_client          WebSocket ready
2026-05-12 15:48:50 [INFO    ] mexc_client          Subscribed to BTC_USDT
2026-05-12 15:48:50 [INFO    ] mexc_client          Subscribed to ETH_USDT
2026-05-12 15:49:36 [INFO    ] main                 [START] Bot STARTED by dashboard
2026-05-12 15:49:58 [WARNING ] mexc_client          WebSocket closed: None None
2026-05-12 15:50:03 [INFO    ] mexc_client          Reconnecting WebSocket...
2026-05-12 15:50:04 [INFO    ] mexc_client          WebSocket connected
2026-05-12 15:50:04 [INFO    ] mexc_client          WebSocket ready
2026-05-12 15:50:04 [INFO    ] mexc_client          Subscribed to BTC_USDT
2026-05-12 15:50:04 [INFO    ] mexc_client          Subscribed to ETH_USDT
2026-05-12 16:14:42 [WARNING ] ai_model             LightGBM not found – rule-based mode only
2026-05-12 16:14:42 [WARNING ] ai_analyst           google-genai not installed — rule-based analyst active
2026-05-12 16:14:42 [INFO    ] main                 [DRY-RUN] DRY-RUN MODE - no real orders placed
2026-05-12 16:14:42 [INFO    ] mexc_client          MEXCClient initialized | dry_run=True
2026-05-12 16:14:42 [INFO    ] data_fetcher         Database initialized: data/trades.db
2026-05-12 16:14:42 [INFO    ] ai_analyst           AI Analyst running in rule-based mode (no GEMINI_API_KEY)
2026-05-12 16:14:42 [INFO    ] trader               Loaded 0 open positions from DB
2026-05-12 16:14:42 [INFO    ] trader               Trader ready | dry_run=True | open=0
2026-05-12 16:14:42 [INFO    ] main                 ============================================================
2026-05-12 16:14:42 [INFO    ] main                   MEXC SCALPING AI BOT  |  dry_run=True
2026-05-12 16:14:42 [INFO    ] main                   Symbols : BTC_USDT, ETH_USDT
2026-05-12 16:14:42 [INFO    ] main                   Interval: Min1 | Check: 5s
2026-05-12 16:14:42 [INFO    ] main                 ============================================================
2026-05-12 16:14:42 [INFO    ] mexc_client          Testing MEXC connection...
2026-05-12 16:14:43 [INFO    ] mexc_client          ✓ Public API OK | BTC price: 80555.1
